trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.8555591903710185, 'e': 0.21059844619672852}",25,8,-2.7197987729748965,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20849246173476124}",20,7,13.648158029484987,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.2064075371174136}",25,9,-39.96553312829385,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.2043434617462395}",20,0,4.351799297445775,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.8521437889662113, 'e': 0.2023000271287771}",20,2,21.648857288489598,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.2002770268574893}",30,0,28.58940352707813,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.850441204540233, 'e': 0.19827425658891443}",30,1,23.171474219618872,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19629151402302528}",25,13,19.07151001476507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19432859888279502}",20,10,12.862937452293624,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.19238531289396707}",25,14,20.77289427320263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.1904614597650274}",20,13,-9.594445162482854,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1885568451673771}",20,10,-21.644924237130088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18667127671570335}",20,14,10.030338576806756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1848045639485463}",20,8,15.473852627677525,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18295651830906084}",20,4,17.481919934493686,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.18112695312597024}",20,1,-15.584213503130215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
